#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
dpplpot;Doppelpot;mame;;1986;Nova;Electromechanical / Skill Game;1;;;preliminary;0;;;;mechanical;;;;;
dpplstrt;Doppelstart;mame;;1985;Nova;Electromechanical / Skill Game;1;;;preliminary;0;;;;mechanical;;;;;
dorapdc;Dora l'exploratrice - Pocket Dream Console (VideoJet, France);mame;;2013;Conny / VideoJet;Handheld / Home Videogame Console;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;5;;;;
dnbanban;Dora Neco BanBan;mame;;1993;Kato Seisakusho;Whac-A-Mole / Maze;1;;gambling;preliminary;0;;;;1P;5;;;;
jsc_dora;Dora the Explorer - Dora Saves the Mermaids (Sharp Cookie) (PAL, UK);mame;;2007;JAKKS Pacific Inc / Child Guidance / Handheld Games;Handheld / Plug n' Play TV Game / Multi-Games;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
doraglob;Dora the Explorer - Dora TV Adventure Globe (US);mame;;2007;VTech;Handheld / Plug n' Play TV Game;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;14;;;;
doraphon;Dora the Explorer - Dora TV Explorer Phone / Boots's Special Day (US/UK);mame;;2006;VTech;Handheld / Plug n' Play TV Game;1;0;joystick (8-way),keypad;imperfect;1;raster;;;Non-arcade;12;;;;
jak_dwa;Dora the Explorer - Dora's World Adventure! (JAKKS Pacific TV Game);mame;;2007;JAKKS Pacific Inc / Handheld Games;Handheld / Plug n' Play TV Game;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;3;;;;
jak_dora;Dora the Explorer - Nursery Rhyme Adventure (JAKKS Pacific TV Game, Game-Key Ready);mame;;2005;JAKKS Pacific Inc / Handheld Games;Handheld / Plug n' Play TV Game / Multi-Games;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;5;;;;
jak_dorr;Dora the Explorer - Race to Play Park (JAKKS Pacific TV Game, Game-Key Ready);mame;;2005;JAKKS Pacific Inc / Handheld Games;Handheld / Plug n' Play TV Game / Multi-Games;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;5;;;;
dorachan;Dora-chan (Japan);mame;;1980;Alpha Denshi Co. / Craul Denshi;Maze / Collect;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;;;2P alt;1;;;;
pldoraemon;Doraemon (Power Link);mame;;1999;NMK;Medal Game / Misc.;1;;;preliminary;0;;;;???;;;;;
dddoor;Doraemon no Dokodemo Door;mame;;1993;Sega;Redemption Game / Action;1;270;joystick (8-way);preliminary;1;raster;;;???;12;;;;
doraemon;Doraemon Slot;mame;;1993?;Sunsoft / Epoch;Medal Game / Video Slot;1;0;gambling;preliminary;1;raster;;;1P;3;;;;
bandolap;Doraemon Step Up PC (Japan);mame;;2014;Bandai;Handheld / Child Computer;0;0;;preliminary;1;raster;;;;;;;;
epo_dtcj;Doraemon Taikan Take-copter! Sora Tobu Daibouken (Japan);mame;;2006;Epoch / SSD Company LTD;Handheld / Plug n' Play TV Game;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
epo_dab2j;Doraemon Taiko AIUEO Zukan (Japan);mame;;200?;Epoch / SSD Company LTD;Handheld / Plug n' Play TV Game;0;0;;preliminary;1;raster;;;;;;;;
doradraw;Doraemon Ugoku! Oekaki (Japan);mame;;2007;Epoch / SSD Company LTD;Handheld / Plug n' Play TV Game;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
epo_dmon;Doraemon Wakuwaku Kuukihou (Japan);mame;;2002;Epoch / SSD Company LTD;Handheld / Plug n' Play TV Game / Multi-Games;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
doraet17;doraet17;mame;;;;Handheld / Educational Game;;;;;;;;;;;;;;
